CoralNet Functional Group,Morpho-Functional - Level 1,Morpho-Functional - Level 2,Genus/family level,Species level,"On CoralNet (Label present, Code adjusted, Existing label, manually Verified)",Label ID,Added to CoralNet,IORL Short code,Short Code,CoralNet Name,CoralNet Existing Name,CoralNet Description,CoralNet Existing Link
Algae,,,,Dictyopteris polypodioides,LCE,8504,,,Dic_pol,Dictyopteris polypodioides,Dictyopteris polypodioides,Algae,https://coralnet.ucsd.edu/label/8504/
Algae,,,,Digenea simplex,LCE,3071,,,Dig_sim,Digenea simplex,Digenea simplex,Algae,https://coralnet.ucsd.edu/label/3071/
Algae,,,,Flabellia petiolata,LCE,2115,,,Fla_pet,Flabellia petiolata,Flabellia petiolata,Algae,https://coralnet.ucsd.edu/label/2115/
Algae,,,,Fucus virsoides,LC,11634,,,Fuc_vir,Fucus virsoides,-,Algae,https://coralnet.ucsd.edu/label/11634/
Algae,,,,Galaxaura rugosa,LCE,2026,,,Gal_rug,Galaxaura rugosa,Galaxaura rugosa,Algae,https://coralnet.ucsd.edu/label/2026/
Algae,,,,Ganonema farinosum,LCE,9776,,,Gan_far,Ganonema farinosum,Ganonema farinosum,Algae,https://coralnet.ucsd.edu/label/9776/
Algae,,,,Halimeda incrassata,LCE,4428,,,Hal_inc,Halimeda incrassata,Halimeda incrassata,Algae,https://coralnet.ucsd.edu/label/4428/
Algae,,,,Halimeda tuna,LCE,7220,,,Hal_tun,Halimeda tuna,Halimeda tuna,Algae,https://coralnet.ucsd.edu/label/7220/
Algae,,,,Halopithys incurva,LC,11635,,,Hal_incu,Halopithys incurva,-,Algae,https://coralnet.ucsd.edu/label/11635/
Algae,,,,Halopteris filicina,LCE,3668,,,Hal_fil,Halopteris filicina,Halopteris filicina,Algae,https://coralnet.ucsd.edu/label/3668/
Algae,,,,Halopteris scoparia,LCE,1907,,,Hal_sco,Halopteris scoparia,Halopteris scoparia,Algae,https://coralnet.ucsd.edu/label/1907/
